time	x	y	z
37.9425	-2.98167159	-0.397439302	2.146298346
37.945	-3.722389624	-0.614404303	2.106113031
37.9475	-4.142223269	-0.764112399	2.362093392
37.95	-4.182713083	-1.040389324	2.841774227
37.9525	-3.835616928	-1.552063418	3.32092719
37.955	-3.12166953	-2.204799656	3.600631299
37.9575	-2.082413375	-2.713697922	3.675788536
37.96	-0.800064042	-2.75503366	3.75789558
37.9625	0.569760986	-2.170096292	4.112603008
37.965	1.790538545	-1.091560171	4.813095785
37.9675	2.5944237	0.094563	5.590346048
37.97	2.783684879	0.935865252	5.91340164
37.9725	2.334500089	1.138422681	5.279666179
37.975	1.436797446	0.695620848	3.541143787
37.9775	0.432238229	-0.148246397	1.050696705
37.98	-0.328167219	-1.060896924	-1.48019011
37.9825	-0.633431039	-1.794487053	-3.33397693
37.985	-0.487982137	-2.25667503	-4.134409812
37.9875	-0.076271052	-2.453240151	-3.98045371
37.99	0.353589091	-2.373659789	-3.305434752
37.9925	0.612666429	-1.932209413	-2.580760675
37.995	0.632537191	-1.028842279	-2.071057001
37.9975	0.447248457	0.309722594	-1.786200516
38	0.132136401	1.828187156	-1.619287567
38.0025	-0.244387979	3.090482664	-1.527354285
38.005	-0.62511065	3.686272246	-1.599252819
38.0075	-0.939814341	3.479237922	-1.963521874
38.01	-1.095358394	2.724536555	-2.626943563
38.0125	-1.008156124	1.948552334	-3.391938102
38.015	-0.664373831	1.637700533	-3.936267042
38.0175	-0.158908859	1.923775102	-4.005285327
38.02	0.330544065	2.47740511	-3.572490664
38.0225	0.633009777	2.699328227	-2.844960529
38.025	0.684516112	2.105297707	-2.108786294
38.0275	0.569843288	0.662391644	-1.53198783
38.03	0.47125531	-1.147555462	-1.072780063
38.0325	0.55264452	-2.590042827	-0.556722019
38.035	0.853375904	-3.104130774	0.146105755
38.0375	1.261021019	-2.619328117	0.988785778
38.04	1.579021211	-1.559577659	1.76508555
38.0425	1.642386214	-0.539724202	2.259378395
38.045	1.406365312	0.035089286	2.405407595
38.0475	0.957444488	0.196581472	2.324547348
38.05	0.452060104	0.32193027	2.212725847
38.0525	0.034365125	0.802645741	2.168989703
38.055	-0.21206851	1.717345991	2.10733896
38.0575	-0.260490647	2.741519314	1.826688998
38.06	-0.110779856	3.352480898	1.185269135
38.0625	0.226111543	3.176369422	0.238228934
38.065	0.710512093	2.228338654	-0.777368376
38.0675	1.243750816	0.883716617	-1.603885212
38.07	1.666359231	-0.381233225	-2.143079433
38.0725	1.807857773	-1.276800269	-2.505778157
38.075	1.567902607	-1.807487336	-2.882667178
38.0775	0.975091587	-2.143479365	-3.334561262
38.08	0.175824313	-2.387913026	-3.677249198
38.0825	-0.648477369	-2.449288923	-3.57469209
38.085	-1.38419988	-2.13366202	-2.794111131
38.0875	-2.036986007	-1.378978772	-1.437950809
38.09	-2.691582212	-0.419578548	0.038580279
38.0925	-3.403071709	0.292222523	1.072472177
38.095	-4.094321831	0.389021982	1.353207724
38.0975	-4.537245181	-0.101635543	1.048656909
38.1	-4.444497435	-0.700946726	0.719992724
38.1025	-3.626422786	-0.772168616	0.956955223
38.105	-2.122289866	0.005169249	1.964867298
38.1075	-0.225343618	1.31607281	3.383595819
38.11	1.618126316	2.311771047	4.474952516
38.1125	2.983815217	2.119404643	4.571995131
38.115	3.627467025	0.447918303	3.505723058
38.1175	3.549540808	-2.122410683	1.734059645
38.12	2.94581982	-4.394521007	0.089418966
38.1225	2.084786386	-5.224311446	-0.694263111
38.125	1.184222534	-4.190494553	-0.379233161
38.1275	0.347480168	-1.836127911	0.689181045
38.13	-0.422580602	0.671294164	1.834439826
38.1325	-1.158069304	2.235859365	2.455663848
38.135	-1.856658844	2.435754422	2.327746204
38.1375	-2.448244738	1.662424003	1.629680168
38.14	-2.810470072	0.748137244	0.729162843
38.1425	-2.818582867	0.370189395	-0.095546499
38.145	-2.401985016	0.642647812	-0.801395302
38.1475	-1.582949913	1.143676815	-1.518636106
38.15	-0.485285362	1.308174534	-2.362590215
38.1525	0.687116708	0.872581603	-3.281454547
38.155	1.694913722	0.054777754	-4.057705774
38.1575	2.32137842	-0.629793466	-4.453392723
38.16	2.431579482	-0.747202219	-4.379881284
38.1625	2.01691403	-0.229211743	-3.95965651
38.165	1.207725799	0.62775758	-3.435737701
38.1675	0.242747142	1.411002612	-3.001661487
38.17	-0.60082556	1.872485011	-2.68198824
